timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578178699.825,27.344,39.062,3.418,63.477,4.883,0
1578178699.829,5.371,46.875,4.395,66.895,68.848,0
1578178699.833,10.742,42.480,-1.953,67.383,74.219,0
1578178699.836,34.180,35.156,1.465,60.059,47.852,0
1578178699.840,36.621,47.363,5.859,60.059,31.738,0
1578178699.844,18.066,65.918,-3.418,57.129,21.484,0
1578178699.848,-2.441,54.688,-10.742,63.477,50.781,0
1578178699.852,-0.977,37.109,6.836,67.871,63.477,0
1578178699.869,14.160,37.598,7.324,75.684,13.184,0
1578178699.873,9.277,44.922,-2.930,88.379,9.766,0
1578178699.877,-14.648,42.480,-0.977,62.012,28.320,0
1578178699.881,6.836,33.203,9.766,41.504,18.555,0
1578178699.885,46.387,28.809,5.859,48.828,20.996,0
1578178699.889,29.297,31.738,-0.977,49.805,79.102,0
1578178699.893,-10.254,33.203,14.160,48.340,87.402,0
1578178699.896,-18.555,27.832,33.691,46.875,30.762,0
1578178699.900,9.277,21.973,12.695,46.387,44.922,0
1578178699.904,17.578,23.438,-6.348,42.480,53.711,0
1578178699.908,-9.766,27.344,11.230,43.945,59.570,0
1578178699.912,-21.484,31.738,26.367,52.246,30.273,0
1578178699.914,6.348,30.273,12.207,59.082,-28.809,0
1578178699.918,30.273,25.391,6.348,51.758,5.859,0
1578178699.922,14.648,25.879,22.461,48.340,100.098,0
1578178699.926,-3.418,24.902,26.855,52.734,54.199,0
1578178699.930,10.742,16.113,6.348,49.805,-2.441,0
1578178699.934,33.691,19.043,-2.930,55.176,14.160,0
1578178699.938,20.508,27.344,12.207,62.988,14.160,0
1578178699.941,-24.414,24.414,29.785,55.664,-18.555,0
1578178699.945,-6.348,20.508,30.273,47.363,-3.906,0
1578178699.949,13.672,15.625,-6.348,44.434,51.270,0
1578178699.953,-18.066,13.672,3.906,40.039,63.965,0
1578178699.957,-17.578,14.648,34.668,38.086,25.391,0
1578178699.959,-5.371,19.531,8.789,40.527,19.043,0
1578178699.963,32.227,22.949,-9.277,44.922,29.297,0
1578178699.967,30.273,24.414,2.441,61.035,23.926,0
1578178699.971,-7.324,23.438,-2.441,55.176,-32.715,0
1578178699.975,-1.953,23.438,-19.531,44.922,-75.195,0
1578178699.979,4.395,20.020,-22.949,49.805,-21.484,0
1578178699.983,26.367,20.020,-18.066,46.875,-43.457,0
1578178699.986,4.395,28.320,4.395,47.363,-38.086,0
1578178699.990,-30.273,29.297,-9.277,47.363,74.707,0
1578178699.994,-4.883,34.668,-21.973,49.805,49.316,0
1578178699.998,27.832,34.180,2.930,47.363,-45.410,0
1578178700.002,14.160,18.555,-13.672,36.133,-32.715,0
1578178700.004,-26.855,20.996,-12.695,45.898,20.996,0
1578178700.008,-13.184,23.438,0.488,53.711,62.500,0
1578178700.012,31.250,16.602,1.953,45.410,46.875,0
1578178700.016,36.133,9.766,8.789,32.227,49.805,0
1578178700.020,-4.883,12.695,5.371,34.180,41.504,0
1578178700.024,-23.438,21.484,0.000,36.133,-37.109,0
1578178700.028,11.719,30.273,-0.488,36.621,-41.016,0
1578178700.031,28.320,39.062,1.465,53.711,-21.973,0
1578178700.035,-0.977,36.621,-17.090,52.734,6.348,0
1578178700.039,-17.578,27.832,-6.348,38.574,19.043,0
1578178700.043,20.020,35.645,9.766,52.246,3.418,0
1578178700.047,56.641,34.180,-21.484,50.781,43.945,0
1578178700.049,8.789,26.367,-15.625,45.410,34.180,0
1578178700.053,-17.578,36.621,4.883,58.105,-32.227,0
1578178700.057,-3.418,29.785,-1.953,46.387,-59.570,0
1578178700.061,7.324,14.160,-21.973,43.457,-34.668,0
1578178700.065,14.160,14.648,-23.926,45.410,-41.504,0
1578178700.069,-10.742,16.602,-5.859,45.410,-32.227,0
1578178700.073,-8.301,11.719,7.324,54.688,-2.441,0
1578178700.076,27.832,17.090,-10.254,55.664,34.668,0
1578178700.080,22.461,21.973,-18.066,58.105,110.352,0
1578178700.084,-19.043,25.391,18.555,68.848,95.215,0
1578178700.088,-11.719,28.320,16.113,63.477,12.695,0
1578178700.092,24.414,23.926,-11.719,54.199,-26.367,0
1578178700.094,28.320,25.391,-7.324,38.574,47.363,0
1578178700.098,-11.719,19.043,7.812,41.992,85.449,0
1578178700.102,-13.672,14.648,2.930,55.176,78.125,0
1578178700.106,34.668,28.809,7.812,66.895,77.148,0
1578178700.110,15.137,26.367,5.371,58.105,34.180,0
1578178700.114,-17.090,13.184,-1.953,51.758,22.949,0
1578178700.118,-11.230,23.926,16.113,56.641,55.664,0
1578178700.121,-1.953,39.551,1.465,41.504,136.230,0
1578178700.125,21.973,34.668,-2.441,46.387,99.121,0
1578178700.129,17.090,23.926,17.578,38.574,-33.691,0
1578178700.133,-9.766,24.414,13.672,34.668,16.113,0
1578178700.137,-2.441,30.762,9.766,49.805,62.988,0
1578178700.139,4.395,32.715,6.348,52.734,21.973,0
1578178700.143,9.766,32.227,17.090,53.711,21.484,0
1578178700.147,-10.254,27.832,19.043,63.965,58.105,0
1578178700.151,-13.672,16.602,10.742,60.059,73.730,0
1578178700.155,34.180,10.254,5.859,43.945,37.109,0
1578178700.159,29.297,8.789,-1.465,27.344,67.383,0
1578178700.163,-13.672,14.160,-0.977,35.645,63.965,0
1578178700.166,-15.137,22.461,13.672,48.828,40.039,0
1578178700.170,-1.465,19.043,42.480,52.246,47.852,0
1578178700.174,7.812,10.742,25.879,58.105,4.883,0
1578178700.178,-0.977,8.789,20.996,51.270,41.016,0
1578178700.182,-16.602,9.277,34.668,47.852,48.828,0
1578178700.184,1.953,5.371,20.508,44.922,14.160,0
1578178700.188,21.484,1.953,2.441,38.086,24.414,0
1578178700.192,26.367,3.418,1.465,42.969,72.266,0
1578178700.196,-5.371,14.160,13.672,53.223,66.895,0
1578178700.200,-29.785,29.785,14.160,56.641,24.414,0
1578178700.204,-1.953,19.531,-0.977,56.641,60.547,0
1578178700.208,25.879,5.371,-24.902,54.199,37.598,0
1578178700.211,9.766,17.578,1.953,62.500,11.230,0
1578178700.215,-10.742,26.855,32.715,45.898,5.859,0
1578178700.219,-0.977,23.926,8.789,31.250,5.859,0
1578178700.223,10.742,19.531,1.465,52.246,19.531,0
1578178700.227,3.906,21.484,16.602,51.758,26.367,0
1578178700.229,-10.254,26.367,31.250,58.105,16.113,0
1578178700.233,8.789,29.785,31.250,60.547,23.926,0
1578178700.237,32.227,41.016,30.762,57.617,2.441,0
1578178700.241,20.996,45.898,47.363,54.688,-42.969,0
1578178700.245,-25.391,44.922,64.453,55.176,25.879,0
1578178700.249,0.488,41.016,51.758,58.105,59.082,0
1578178700.253,52.734,35.645,42.480,45.898,35.156,0
1578178700.256,29.785,40.527,65.430,45.898,13.184,2
1578178700.260,-16.113,42.969,68.359,50.293,-19.531,0
1578178700.264,-17.090,46.875,57.617,46.387,-56.641,0
1578178700.268,8.789,42.969,54.688,40.527,-43.945,0
1578178700.272,18.555,45.410,51.270,41.992,-62.012,0
1578178700.289,0.000,57.617,59.570,51.270,-40.039,0
1578178700.293,-5.859,52.734,64.941,61.523,-48.340,0
1578178700.297,30.273,52.246,56.641,65.430,-72.266,0
1578178700.301,47.852,58.594,61.035,69.824,0.000,0
1578178700.305,24.902,61.523,51.270,71.777,-13.672,0
1578178700.309,-1.953,65.918,44.434,53.711,0.000,0
1578178700.313,3.418,61.035,48.828,45.410,-17.578,0
1578178700.316,26.367,68.848,45.410,55.176,-98.633,0
1578178700.320,10.742,61.035,37.109,56.641,-60.547,0
1578178700.324,-18.555,41.504,29.297,55.176,-2.930,0
1578178700.328,11.230,54.199,47.852,67.383,-1.953,0
1578178700.332,47.363,52.246,44.922,65.918,-45.898,0
1578178700.334,32.227,43.945,26.367,51.270,-57.129,0
1578178700.338,0.000,49.805,34.668,51.758,-45.410,0
1578178700.342,6.836,51.758,41.992,46.387,1.465,0
1578178700.346,29.785,45.898,31.738,52.734,18.555,0
1578178700.350,26.855,36.621,26.855,59.570,86.426,0
1578178700.354,2.441,25.879,16.602,48.828,38.086,0
1578178700.358,-14.160,22.949,40.527,56.152,14.160,0
1578178700.361,14.648,32.227,49.805,65.918,45.410,0
1578178700.365,31.250,39.062,10.254,66.895,29.297,0
1578178700.369,18.555,42.480,12.207,68.359,64.453,0
1578178700.373,4.395,42.480,51.758,55.664,37.109,0
1578178700.377,9.766,40.039,49.805,62.012,25.879,0
1578178700.379,41.016,33.203,26.367,76.172,20.996,0
1578178700.383,54.688,25.879,20.020,56.152,-27.832,0
1578178700.387,16.113,24.414,35.645,54.688,-24.902,0
1578178700.391,3.418,22.949,40.527,68.848,50.293,0
1578178700.395,43.457,28.320,15.625,70.312,3.418,0
1578178700.399,38.086,34.668,1.953,71.289,-45.410,0
1578178700.403,9.766,33.203,20.020,80.566,-25.879,0
1578178700.406,29.785,35.645,35.645,75.195,-22.461,0
1578178700.410,48.828,22.949,10.254,48.340,48.340,0
1578178700.414,28.809,18.555,8.789,49.316,41.016,0
1578178700.418,7.324,28.320,39.551,62.012,-23.438,0
1578178700.422,-7.324,17.578,34.180,58.105,42.969,0
1578178700.424,10.254,20.020,23.438,61.035,21.484,0
1578178700.428,42.480,37.109,30.762,70.312,-33.691,0
1578178700.432,43.457,41.016,36.133,70.312,33.203,0
1578178700.436,1.465,41.016,33.203,62.500,10.742,0
1578178700.440,4.395,35.156,41.992,59.082,40.039,0
1578178700.444,43.945,28.809,25.879,61.035,66.895,0
1578178700.448,25.391,22.461,21.484,56.641,29.297,0
1578178700.451,3.418,17.090,26.367,51.758,65.430,0
1578178700.455,17.578,14.160,13.184,56.152,62.500,0
1578178700.459,22.461,16.113,30.273,63.477,8.301,0
1578178700.463,16.113,14.160,38.574,64.453,21.973,0
1578178700.467,-16.602,16.113,34.180,60.059,40.527,0
1578178700.469,-27.832,26.367,46.875,43.457,46.387,0
1578178700.473,14.648,27.832,49.805,50.293,41.992,0
1578178700.477,26.855,12.695,23.926,52.246,1.465,0
1578178700.481,5.371,3.418,21.484,36.621,-18.066,0
1578178700.485,-24.414,5.371,43.457,52.734,44.922,0
1578178700.489,-3.906,0.000,26.367,54.199,33.691,0
1578178700.493,26.367,-1.953,12.207,43.457,5.371,0
1578178700.496,-10.742,-3.906,13.184,41.504,58.594,0
1578178700.500,-20.020,-2.930,19.531,38.574,40.527,0
