timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578177452.357,13.672,28.320,21.484,65.430,17.578,0
1578177452.361,20.508,33.203,33.691,71.777,18.066,0
1578177452.365,12.207,5.371,15.625,48.828,16.602,0
1578177452.369,0.000,-4.883,-14.160,50.781,22.461,0
1578177452.373,4.883,3.906,-9.277,57.129,27.832,0
1578177452.376,7.812,6.348,1.953,53.223,22.461,0
1578177452.380,5.371,0.488,18.555,52.734,27.344,0
1578177452.384,18.066,24.902,27.344,65.918,0.977,0
1578177452.388,24.902,35.156,13.184,71.289,26.367,0
1578177452.392,22.949,12.207,18.555,62.988,9.766,0
1578177452.395,21.484,5.859,26.855,53.711,-26.367,0
1578177452.399,17.578,4.883,12.695,47.363,21.973,0
1578177452.403,10.742,7.324,-0.488,49.316,53.711,0
1578177452.407,6.836,7.324,15.137,53.711,57.129,0
1578177452.411,12.207,11.719,29.297,59.570,28.809,0
1578177452.415,16.113,24.902,12.695,59.082,26.367,0
1578177452.419,20.020,37.109,-9.766,51.758,77.637,0
1578177452.422,16.113,27.344,-7.324,45.410,54.688,0
1578177452.426,12.207,7.324,23.926,48.340,28.809,0
1578177452.430,26.367,15.137,27.832,66.406,1.953,0
1578177452.434,24.414,24.902,0.000,57.129,-4.883,0
1578177452.438,3.418,21.973,-7.812,40.039,41.504,0
1578177452.439,7.812,30.273,8.789,50.293,45.898,0
1578177452.443,23.438,28.320,22.949,54.688,4.395,0
1578177452.447,17.090,35.645,19.531,58.594,1.465,0
1578177452.451,17.090,56.641,17.578,58.105,-7.324,0
1578177452.455,11.230,34.668,24.902,47.852,-28.320,0
1578177452.459,1.953,10.254,14.648,48.340,10.742,0
1578177452.463,14.160,12.695,-1.465,53.711,49.316,0
1578177452.466,8.789,12.695,-0.488,43.945,75.684,0
1578177452.470,-1.465,19.531,15.625,43.945,11.230,0
1578177452.474,5.371,28.320,23.438,54.199,-15.625,0
1578177452.478,13.184,25.879,23.926,64.941,4.883,0
1578177452.482,18.555,25.391,20.996,61.523,-49.316,0
1578177452.484,3.418,20.508,21.973,47.363,-40.527,0
1578177452.488,0.000,19.531,28.809,47.852,15.625,0
1578177452.492,7.812,26.367,23.926,54.199,21.484,0
1578177452.496,1.953,16.113,-4.395,47.363,-40.527,0
1578177452.500,1.465,15.137,-0.488,53.223,-20.508,0
1578177452.504,10.254,18.066,18.555,68.848,27.832,0
1578177452.508,22.949,17.578,20.508,58.594,29.785,0
1578177452.511,23.438,21.973,26.367,50.781,10.742,0
1578177452.515,9.766,11.230,9.766,44.434,-8.789,0
1578177452.519,0.000,-2.930,15.625,41.016,10.254,0
1578177452.523,-2.930,4.883,36.133,50.781,28.320,0
1578177452.527,-16.602,13.672,19.531,53.223,27.832,0
1578177452.545,-7.324,19.043,-2.930,46.387,5.859,0
1578177452.549,7.812,25.879,9.766,50.293,-18.555,0
1578177452.553,9.277,22.949,36.621,64.453,32.227,0
1578177452.557,17.090,19.531,28.809,63.477,39.551,0
1578177452.561,29.785,17.090,7.324,59.082,5.371,0
1578177452.565,24.902,10.254,-8.789,50.293,48.828,0
1578177452.569,7.812,21.973,8.789,45.898,41.992,0
1578177452.572,8.301,26.855,36.133,57.617,45.898,0
1578177452.576,4.883,20.996,12.695,56.152,34.180,0
1578177452.580,8.301,19.531,8.789,50.781,57.129,0
1578177452.584,7.324,6.836,21.973,48.340,52.246,0
1578177452.588,-9.277,5.371,14.648,41.992,-31.250,0
1578177452.589,2.441,13.184,-2.441,34.180,-5.859,0
1578177452.593,14.160,10.254,2.930,43.945,65.430,0
1578177452.597,15.137,13.672,24.414,46.387,14.160,0
1578177452.601,11.719,20.996,23.926,39.062,24.902,0
1578177452.605,0.488,12.695,6.836,43.945,77.148,0
1578177452.609,0.488,17.578,2.930,52.734,100.586,0
1578177452.613,8.789,30.762,17.578,51.758,45.898,0
1578177452.616,9.766,29.297,31.738,47.363,5.859,0
1578177452.620,6.348,21.484,4.395,43.457,27.832,0
1578177452.624,3.906,10.742,-28.809,36.621,-10.254,0
1578177452.628,9.277,9.277,1.465,36.621,-12.695,0
1578177452.632,11.230,11.230,23.926,40.039,-56.641,0
1578177452.634,8.301,16.113,21.973,48.340,-38.086,0
1578177452.638,0.000,12.695,6.836,44.434,5.371,0
1578177452.642,2.441,13.672,2.930,39.551,-37.109,0
1578177452.646,16.602,18.555,18.555,48.828,-55.176,0
1578177452.650,12.695,12.207,25.391,58.594,-18.066,0
1578177452.654,5.859,4.395,18.066,63.477,51.270,0
1578177452.658,5.371,9.766,13.184,57.617,46.875,0
1578177452.661,9.766,20.508,15.137,56.152,0.000,0
1578177452.665,17.090,9.277,-2.930,59.570,-35.645,0
1578177452.669,17.578,-2.441,-2.441,48.828,0.488,0
1578177452.673,17.578,7.324,9.766,53.711,-5.371,0
1578177452.677,21.484,14.160,19.043,68.848,-2.930,0
1578177452.679,24.414,10.742,32.227,64.941,52.734,0
1578177452.683,17.578,10.742,22.949,61.523,9.766,0
1578177452.687,7.324,21.484,14.648,59.082,-41.016,0
1578177452.691,1.953,27.344,13.672,51.758,-9.277,0
1578177452.695,1.465,15.625,20.508,55.664,29.297,0
1578177452.699,-6.836,3.418,8.789,42.969,23.926,0
1578177452.703,-12.207,5.859,-7.324,36.133,-14.648,0
1578177452.706,0.488,7.324,-5.371,52.246,-62.500,0
1578177452.710,5.859,4.883,8.789,48.828,-10.254,0
1578177452.714,-2.441,1.465,32.715,40.039,45.410,0
1578177452.718,-2.441,9.766,21.484,49.805,33.203,0
1578177452.722,7.812,23.438,9.277,56.152,-4.395,0
1578177452.724,11.719,27.832,31.250,57.129,-20.508,0
1578177452.728,13.184,28.320,50.293,60.547,45.898,0
1578177452.732,7.812,19.531,23.926,54.688,5.371,0
1578177452.736,-5.371,11.719,3.418,41.504,2.930,0
1578177452.740,-7.812,22.949,6.836,35.645,40.527,0
1578177452.744,-12.207,20.508,13.672,31.738,6.836,0
1578177452.748,-9.277,18.555,16.602,30.273,4.883,0
1578177452.751,10.254,27.832,-5.371,30.762,23.926,0
1578177452.755,1.953,18.555,5.371,28.809,64.941,0
1578177452.759,-20.996,8.789,43.457,26.367,48.340,0
1578177452.763,-16.113,16.113,37.109,41.504,22.949,0
1578177452.767,-5.859,17.090,24.414,50.781,26.367,0
1578177452.769,-13.184,7.812,21.973,38.086,24.902,0
1578177452.773,-27.832,3.418,26.367,41.504,33.691,0
1578177452.777,-8.301,4.395,38.086,56.641,66.895,0
1578177452.781,12.207,14.160,34.668,48.828,46.875,0
1578177452.785,0.488,18.555,12.695,34.668,-18.066,0
1578177452.789,-8.301,17.578,12.695,30.762,4.883,0
1578177452.793,-3.418,31.250,24.902,36.133,29.297,0
1578177452.796,5.371,33.203,27.344,43.457,67.871,0
1578177452.800,-4.883,20.996,30.273,49.805,47.363,0
1578177452.804,-16.113,16.113,35.156,49.316,-6.836,0
1578177452.808,-16.113,5.859,30.762,40.039,70.801,0
1578177452.812,-16.113,-1.465,16.602,38.574,96.680,0
1578177452.815,-0.977,-2.441,20.996,38.574,48.828,0
1578177452.819,10.254,0.977,16.602,37.598,4.395,0
1578177452.823,10.254,17.578,38.086,47.363,34.180,0
1578177452.827,6.836,26.855,46.875,47.852,89.355,0
1578177452.831,-1.953,27.832,16.602,40.527,72.266,0
1578177452.835,14.160,28.320,8.789,48.340,24.414,0
1578177452.839,18.066,15.137,5.371,35.156,23.926,0
1578177452.842,-10.742,3.906,7.812,26.367,20.020,0
1578177452.846,-19.043,13.672,29.297,41.504,-10.742,0
1578177452.850,-8.789,14.648,17.090,41.016,9.766,0
1578177452.854,4.395,15.625,14.648,38.086,42.480,0
1578177452.858,2.930,27.832,36.133,38.574,50.293,0
1578177452.859,7.324,29.297,38.574,45.410,56.641,0
1578177452.863,9.277,26.367,10.254,45.898,51.270,0
1578177452.867,-2.441,18.066,13.184,45.898,91.309,0
1578177452.871,16.602,22.461,41.016,48.828,45.410,0
1578177452.875,15.625,19.043,38.086,46.875,58.105,0
1578177452.879,-2.441,9.766,-5.859,38.574,114.258,0
1578177452.883,2.441,22.949,-14.160,28.320,79.102,0
1578177452.886,6.348,34.668,36.133,38.574,65.918,0
1578177452.890,13.184,30.762,42.969,51.758,36.621,0
1578177452.894,18.066,29.297,14.648,45.898,32.227,0
1578177452.898,10.742,25.391,19.043,48.340,56.152,0
1578177452.902,4.883,10.742,38.086,57.129,39.551,0
1578177452.919,17.090,7.324,39.062,51.270,19.531,0
1578177452.923,12.695,16.113,25.879,44.922,66.895,0
1578177452.927,-7.324,20.996,12.695,46.875,63.477,0
1578177452.931,11.230,25.391,20.508,50.781,35.156,0
1578177452.935,22.461,17.578,28.809,48.340,47.852,0
1578177452.939,8.301,12.207,15.137,48.828,73.730,0
1578177452.943,9.277,23.438,7.324,50.781,80.078,0
1578177452.946,32.227,25.879,21.973,59.082,52.734,0
1578177452.950,36.621,17.090,37.109,72.754,10.742,0
1578177452.954,18.555,23.438,34.180,68.848,44.434,0
1578177452.958,20.996,41.504,40.527,59.082,125.977,0
1578177452.962,14.648,30.762,25.391,53.711,82.520,0
1578177452.964,2.441,11.230,11.719,46.387,42.480,0
1578177452.968,30.273,13.672,30.762,64.941,51.270,0
1578177452.972,40.039,18.555,31.250,64.453,42.969,0
1578177452.976,17.578,17.090,26.855,46.387,101.074,0
1578177452.980,18.066,11.719,21.484,51.270,76.660,0
1578177452.984,20.996,16.602,24.414,63.477,29.785,0
1578177452.988,10.254,26.367,34.668,58.594,36.621,0
1578177452.991,6.348,24.902,37.598,53.223,34.180,0
1578177452.995,24.902,21.484,33.203,65.430,-11.230,0
1578177452.999,24.902,18.555,40.527,63.477,-6.836,0
1578177453.003,5.371,14.648,42.480,42.969,20.508,0
1578177453.007,6.836,18.066,12.695,33.203,28.809,0
1578177453.009,20.996,23.926,7.812,49.316,-49.316,0
1578177453.013,12.695,22.461,34.180,53.711,-15.137,0
1578177453.017,11.719,20.508,38.574,56.641,-9.766,0
1578177453.021,20.020,22.949,22.949,65.918,-63.965,0
1578177453.025,17.578,18.555,18.555,57.617,21.484,0
1578177453.029,-0.977,4.395,23.438,44.434,42.969,0
1578177453.033,0.977,7.812,45.410,49.316,43.457,0
1578177453.036,29.785,19.531,39.062,59.570,15.137,0
1578177453.040,28.320,-1.953,-3.906,44.922,-11.719,0
1578177453.044,3.418,-8.789,15.625,36.133,0.488,0
