timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578267603.129,14.648,22.949,55.176,50.781,39.551,0
1578267603.133,29.785,34.180,23.926,42.969,-79.590,0
1578267603.135,6.836,57.617,56.641,31.738,5.371,0
1578267603.139,11.719,63.477,90.332,47.852,120.605,0
1578267603.143,17.090,36.621,56.641,59.570,66.895,0
1578267603.147,16.113,20.508,19.043,48.340,-52.734,0
1578267603.151,26.855,31.250,31.250,29.297,-54.199,0
1578267603.155,17.578,37.598,57.129,41.504,61.035,0
1578267603.159,9.277,35.156,68.848,59.082,89.844,0
1578267603.162,5.371,12.695,41.504,40.039,-4.883,0
1578267603.166,9.277,5.859,40.527,30.273,-64.453,0
1578267603.170,11.719,28.809,84.961,43.945,-9.766,0
1578267603.174,-4.883,22.949,75.684,40.527,54.199,0
1578267603.178,5.371,8.789,44.922,31.250,0.000,0
1578267603.182,13.672,21.484,41.504,38.574,-78.125,0
1578267603.186,-0.488,36.133,83.984,48.828,-18.555,0
1578267603.190,3.906,41.992,87.891,34.668,83.008,0
1578267603.194,18.555,40.527,33.691,35.156,36.133,0
1578267603.198,13.184,41.992,20.508,35.156,-87.402,0
1578267603.202,-0.977,61.035,48.340,39.062,-62.988,0
1578267603.206,-1.953,78.613,72.754,55.176,66.406,0
1578267603.209,-0.488,70.801,26.855,25.391,50.781,0
1578267603.213,3.906,75.684,16.602,20.020,-59.082,0
1578267603.217,-0.977,86.426,50.293,54.688,-62.012,0
1578267603.221,0.488,76.172,49.316,47.363,39.551,0
1578267603.225,9.277,68.848,35.156,25.391,51.270,0
1578267603.225,13.184,65.918,17.578,28.809,-37.598,0
1578267603.229,13.184,54.688,28.809,32.227,-64.941,0
1578267603.233,-0.488,59.570,51.270,47.363,-4.883,0
1578267603.237,4.395,81.543,58.105,47.852,70.801,0
1578267603.241,20.996,75.684,38.574,47.363,2.441,0
1578267603.245,8.301,63.965,17.090,53.711,-95.703,0
1578267603.249,12.207,65.430,15.137,59.082,-54.199,0
1578267603.252,22.949,74.219,38.574,61.035,51.270,0
1578267603.256,32.227,73.730,48.340,51.270,31.250,0
1578267603.260,13.672,59.082,17.578,47.852,-85.449,0
1578267603.264,12.695,63.965,28.809,52.734,-73.242,0
1578267603.268,20.996,58.594,60.547,61.035,40.039,0
1578267603.270,5.371,41.016,34.668,41.504,41.504,0
1578267603.274,17.090,37.598,-7.812,21.484,-44.922,0
1578267603.278,11.230,43.457,-2.441,27.344,-75.195,0
1578267603.282,-3.418,54.199,37.109,30.762,-2.930,0
1578267603.286,26.855,66.895,44.434,52.246,66.406,0
1578267603.290,28.320,65.918,-0.488,63.965,-11.719,0
1578267603.294,11.719,57.129,-19.531,56.152,-110.352,0
1578267603.297,16.602,72.754,39.062,37.598,-17.578,0
1578267603.301,0.000,68.359,68.359,26.855,59.082,0
1578267603.305,1.465,40.039,18.555,42.969,-22.949,0
1578267603.309,30.762,38.574,-1.465,57.129,-68.848,0
1578267603.313,12.207,56.152,39.551,76.172,-11.719,0
1578267603.315,-7.812,75.684,59.570,58.105,84.961,0
1578267603.319,12.207,71.289,20.508,32.715,82.031,0
1578267603.323,18.066,66.406,0.000,30.273,-20.020,0
1578267603.327,0.488,79.590,31.250,39.551,-46.875,0
1578267603.331,-1.465,76.660,54.688,44.434,60.059,0
1578267603.335,26.367,59.082,26.855,53.223,98.633,0
1578267603.339,37.109,56.152,19.043,66.406,-15.137,0
1578267603.342,16.113,58.105,45.410,60.059,-47.363,0
1578267603.346,15.137,56.152,46.387,52.246,47.363,0
1578267603.350,17.578,70.312,39.062,73.242,97.168,0
1578267603.354,30.762,68.848,20.020,67.383,13.672,0
1578267603.358,32.227,42.969,24.414,38.086,-55.664,0
1578267603.375,1.465,35.645,50.293,54.199,41.504,0
1578267603.379,17.090,36.621,43.457,65.918,106.934,0
1578267603.383,12.207,25.879,29.297,36.133,45.410,0
1578267603.387,3.906,28.320,36.621,33.691,-27.832,0
1578267603.391,16.602,18.066,50.293,53.223,16.113,0
1578267603.395,15.625,-0.488,44.434,69.336,91.309,0
1578267603.399,13.672,10.254,19.043,54.688,51.758,0
1578267603.402,12.207,6.348,-0.977,34.180,-57.129,0
1578267603.406,6.348,-20.508,4.395,47.852,-74.707,0
1578267603.410,7.812,-23.926,21.484,59.082,30.762,0
1578267603.414,35.156,-9.277,43.945,62.012,76.660,0
1578267603.418,41.992,-12.695,30.273,57.129,-36.621,0
1578267603.420,14.160,-5.859,7.812,52.246,-91.309,0
1578267603.424,-3.906,4.883,23.926,51.270,29.297,0
1578267603.428,18.066,-6.836,38.086,51.270,98.633,0
1578267603.432,28.809,-25.391,18.555,47.852,41.504,0
1578267603.436,23.438,-34.668,5.859,61.523,-38.086,0
1578267603.440,28.809,-25.391,26.367,85.938,-9.277,0
1578267603.444,5.859,-10.742,38.086,69.336,93.750,0
1578267603.447,0.488,-12.207,11.719,50.781,49.316,0
1578267603.451,11.719,-18.555,-39.062,27.832,-67.383,0
1578267603.455,11.719,8.301,-18.555,32.715,-51.270,0
1578267603.459,26.367,22.949,52.246,63.477,60.059,0
1578267603.463,38.574,-4.395,29.297,54.688,54.199,0
1578267603.465,50.293,-9.766,-1.953,58.105,-87.402,0
1578267603.469,24.414,-15.625,26.367,60.059,-69.824,0
1578267603.473,2.441,-14.648,50.781,54.688,60.059,0
1578267603.477,25.391,12.207,25.879,78.125,62.012,0
1578267603.481,28.320,25.391,-8.301,80.566,-46.875,0
1578267603.485,15.625,20.020,-7.324,25.879,-85.938,0
1578267603.489,-11.719,13.672,34.180,8.301,13.184,0
1578267603.492,-22.949,2.930,30.273,15.137,89.844,0
1578267603.496,-10.254,-18.066,-20.020,19.531,2.441,0
1578267603.500,-8.789,-2.930,-0.488,19.531,-93.750,0
1578267603.504,-8.789,21.973,32.715,14.160,-28.320,0
1578267603.508,-10.742,-2.930,21.973,25.391,84.473,0
1578267603.510,-10.742,-19.043,6.348,32.227,44.434,0
1578267603.514,11.230,-5.371,10.254,44.922,-77.148,0
1578267603.518,23.438,0.000,27.344,57.129,-61.523,0
1578267603.522,10.742,-6.836,24.902,39.551,83.496,0
1578267603.526,6.348,-14.160,3.906,29.297,110.840,0
1578267603.530,9.277,-16.602,3.418,34.668,-12.695,0
1578267603.534,0.977,-13.672,28.320,38.574,-59.082,0
1578267603.537,8.789,-3.418,31.250,46.387,36.621,0
1578267603.541,32.715,9.277,21.973,62.988,98.145,0
1578267603.545,23.438,8.301,33.203,60.547,13.672,0
1578267603.549,1.953,-2.930,16.602,48.828,-64.941,0
1578267603.553,5.859,23.926,27.832,56.641,13.672,0
1578267603.555,11.230,42.480,42.969,54.688,105.957,0
1578267603.559,13.184,18.066,13.184,43.945,51.270,0
1578267603.563,8.789,4.883,-9.766,24.902,-51.758,0
1578267603.567,6.348,29.785,17.578,29.785,-2.930,0
1578267603.571,16.113,49.805,38.574,43.457,105.957,0
1578267603.575,13.672,30.762,11.230,40.527,59.082,0
1578267603.579,53.711,29.297,1.953,56.641,-61.523,0
1578267603.582,62.012,37.109,8.789,63.965,-72.754,0
1578267603.586,6.348,55.176,47.363,67.383,52.734,0
1578267603.590,-4.883,74.707,54.688,60.059,73.242,0
1578267603.594,17.090,58.594,9.277,55.664,-27.344,0
1578267603.598,29.785,58.594,3.906,66.406,-60.547,0
1578267603.600,23.926,68.848,38.086,55.176,41.992,0
1578267603.604,17.578,51.270,23.926,60.059,101.074,0
1578267603.608,32.227,35.156,-13.672,53.711,0.000,0
1578267603.612,45.898,48.828,-7.324,50.781,-97.656,0
1578267603.616,18.066,59.570,10.254,60.547,-16.602,0
1578267603.620,1.465,55.664,18.555,58.105,87.891,0
1578267603.624,6.348,52.246,-1.465,48.828,28.320,0
1578267603.627,22.461,60.059,-13.184,36.133,-59.082,0
1578267603.631,34.180,69.824,11.230,52.734,-55.664,0
1578267603.635,14.648,64.453,24.414,64.941,45.410,0
1578267603.639,11.719,63.477,19.531,44.922,62.988,0
1578267603.643,13.672,52.246,9.277,33.203,-39.062,0
1578267603.645,15.625,54.688,18.066,47.852,-68.848,0
1578267603.649,40.527,77.148,43.945,69.824,48.340,0
1578267603.653,34.668,79.102,36.133,78.613,105.957,0
1578267603.657,20.508,61.523,15.137,64.453,16.602,0
1578267603.661,47.363,54.199,7.812,59.570,-23.926,0
1578267603.665,35.645,58.594,16.113,55.664,42.480,0
1578267603.669,15.137,50.781,17.090,42.480,100.586,0
1578267603.672,18.066,53.223,19.531,40.039,14.648,0
1578267603.676,13.672,57.617,36.133,53.711,-62.012,0
1578267603.680,14.648,60.547,45.898,67.383,10.254,0
1578267603.684,17.578,71.777,41.016,57.617,101.562,0
1578267603.688,21.484,69.336,21.484,42.969,87.402,0
1578267603.690,16.113,59.570,6.348,55.664,-12.695,0
1578267603.694,27.832,60.547,9.277,67.871,-28.320,0
1578267603.698,41.016,62.500,27.344,69.336,73.242,0
1578267603.702,28.320,55.176,26.855,76.660,75.684,0
1578267603.706,23.438,51.270,6.836,62.500,-60.059,0
1578267603.710,28.809,46.875,-10.742,46.875,-76.660,0
1578267603.714,24.414,54.199,5.371,64.941,12.695,0
1578267603.717,26.855,60.059,27.344,75.195,58.105,0
1578267603.721,28.320,44.922,-1.465,51.758,-11.230,0
1578267603.725,10.254,39.062,-7.324,55.664,-93.262,0
1578267603.729,14.648,45.898,34.180,83.008,-1.465,0
1578267603.733,28.809,44.434,43.457,54.688,73.242,0
1578267603.750,20.508,25.391,7.812,32.715,-20.996,0
1578267603.754,0.977,26.367,0.977,38.574,-92.285,0
1578267603.758,2.930,43.457,25.391,43.457,-25.391,0
1578267603.762,12.695,42.969,38.086,46.875,56.152,0
1578267603.766,13.672,29.297,14.648,42.969,36.621,0
1578267603.770,12.695,18.555,-14.648,41.016,-57.617,0
1578267603.774,16.113,25.391,9.766,56.641,-71.777,0
1578267603.777,34.180,35.645,50.781,86.426,48.828,0
1578267603.781,30.762,27.832,32.227,83.008,68.848,0
1578267603.785,29.785,30.762,-8.789,52.246,-53.223,0
1578267603.789,29.297,41.992,-1.465,36.621,-67.871,0
1578267603.793,4.395,41.504,12.695,42.969,35.645,0
1578267603.795,7.812,41.016,2.441,47.363,69.336,0
1578267603.799,20.508,34.668,-7.812,40.527,-1.953,0
1578267603.803,8.789,31.738,-2.441,40.039,-40.039,0
1578267603.807,-4.395,22.461,7.812,44.434,25.879,0
1578267603.811,4.883,1.465,7.324,47.363,113.281,0
1578267603.815,23.926,-10.742,-10.742,39.062,76.660,0
1578267603.819,35.156,-5.371,-8.789,43.457,-35.645,0
1578267603.822,8.301,17.090,20.508,61.523,-23.438,0
1578267603.826,15.625,29.785,9.766,60.547,76.660,0
1578267603.830,37.109,30.762,-8.301,62.500,49.805,0
1578267603.834,21.973,40.039,16.602,70.801,-38.086,0
1578267603.838,14.648,23.926,31.738,77.637,-29.297,0
1578267603.840,23.926,11.719,37.598,60.059,81.543,0
1578267603.844,20.020,19.043,20.020,55.176,113.281,0
1578267603.848,17.578,17.578,4.883,63.965,16.113,0
1578267603.852,41.016,10.742,9.766,58.594,-56.641,0
1578267603.856,54.199,14.648,37.109,59.082,28.809,0
1578267603.860,24.414,14.648,38.086,64.453,116.211,0
1578267603.864,15.625,9.766,9.766,56.641,41.992,0
1578267603.867,20.996,8.301,7.324,58.594,-53.223,0
1578267603.871,15.625,15.137,11.719,57.129,21.973,0
1578267603.875,19.531,29.297,28.320,49.805,100.586,0
1578267603.879,45.898,25.879,17.578,47.852,21.973,0
1578267603.883,65.430,8.301,-6.836,45.410,-77.637,0
1578267603.885,29.297,10.254,28.320,49.316,-27.344,0
1578267603.889,1.953,25.391,62.012,54.199,99.609,0
1578267603.893,28.320,24.902,41.992,63.477,87.891,0
1578267603.897,30.273,8.301,6.836,59.570,-47.363,0
1578267603.901,-0.488,13.184,17.578,61.035,-48.828,0
1578267603.905,-0.977,13.184,40.039,63.477,88.867,0
1578267603.909,2.441,-2.441,36.133,42.480,117.676,0
1578267603.912,12.695,-0.977,-2.441,39.062,-21.484,0
1578267603.916,14.648,11.230,-7.324,48.828,-95.215,0
1578267603.920,11.230,33.203,45.898,55.664,12.695,0
1578267603.924,27.832,37.598,41.016,62.500,71.777,0
1578267603.928,25.879,23.438,14.648,49.316,17.090,0
1578267603.930,21.484,19.043,17.578,42.480,-47.363,0
1578267603.934,39.062,33.203,43.945,74.707,-8.301,0
1578267603.938,49.805,31.250,47.852,73.242,89.355,0
1578267603.942,45.898,15.137,14.648,58.105,57.617,0
1578267603.946,40.039,14.648,2.441,77.637,-41.016,0
1578267603.950,41.504,29.785,27.832,86.426,-17.090,0
1578267603.954,28.320,20.996,53.711,89.355,88.379,0
1578267603.957,43.457,4.395,20.508,70.312,73.242,0
1578267603.961,41.016,18.066,6.348,45.898,-20.996,0
1578267603.965,14.160,30.273,33.203,46.875,-43.945,0
1578267603.969,24.902,33.691,20.996,61.035,24.902,0
1578267603.973,5.859,25.391,4.883,48.828,74.219,0
1578267603.975,10.742,10.742,1.465,48.828,0.977,0
1578267603.979,20.020,11.230,4.883,52.734,-77.637,0
1578267603.983,8.789,24.902,11.230,52.246,-28.809,0
1578267603.987,25.391,33.691,26.855,65.918,74.219,0
1578267603.991,24.902,25.879,21.484,60.547,56.152,0
1578267603.995,36.621,18.066,-5.371,57.129,-40.039,0
1578267603.999,61.035,20.996,-2.441,62.988,2.441,0
1578267604.002,30.762,39.551,22.461,81.055,98.633,0
1578267604.006,32.227,49.316,27.344,100.586,59.082,0
1578267604.010,35.156,40.527,-3.418,61.035,-40.039,0
1578267604.014,40.039,38.574,-0.488,67.383,-53.223,0
1578267604.018,55.664,34.668,21.484,100.098,42.480,0
1578267604.020,37.598,31.738,19.043,62.988,75.195,0
1578267604.024,28.809,19.531,-14.160,59.082,-61.035,0
1578267604.028,56.152,18.555,-12.207,56.641,-109.863,0
1578267604.032,49.805,34.668,28.809,62.988,31.250,0
1578267604.036,27.832,40.039,17.090,77.637,73.242,0
1578267604.040,27.832,42.480,-27.344,62.988,-0.977,0
1578267604.044,17.090,38.086,-51.270,53.711,-77.637,0
1578267604.047,36.133,54.688,-4.883,85.449,-23.926,0
1578267604.051,40.039,53.711,22.461,89.844,44.922,0
1578267604.055,59.570,38.574,-22.949,94.238,-2.441,0
1578267604.059,59.570,35.645,-39.551,104.492,-87.891,0
1578267604.063,28.809,35.645,-1.465,50.293,-76.172,0
1578267604.080,38.086,46.875,19.531,51.270,64.453,0
1578267604.084,45.410,39.551,-5.859,83.496,68.848,0
1578267604.088,54.199,31.250,-27.344,92.285,-27.344,0
1578267604.092,48.340,43.945,-11.230,107.910,-34.668,0
1578267604.096,47.363,51.270,6.348,82.031,48.828,0
1578267604.100,44.922,32.227,-28.320,63.477,81.543,0
1578267604.104,33.203,27.344,-42.969,72.266,22.949,0
1578267604.107,42.480,41.016,-19.531,75.195,-11.719,0
1578267604.111,54.688,41.016,-13.184,74.219,47.363,0
1578267604.115,53.711,34.180,-10.742,75.195,101.562,0
1578267604.119,70.801,20.020,-26.367,82.031,20.508,0
1578267604.123,55.176,14.648,-34.180,81.055,-65.918,0
1578267604.125,43.945,18.066,-15.625,85.449,-7.812,0
1578267604.129,52.734,21.484,-11.230,90.820,70.312,0
1578267604.133,30.273,20.996,-30.273,74.219,38.086,0
1578267604.137,37.598,18.555,-47.363,70.801,-75.684,0
1578267604.141,50.293,22.461,-31.738,73.242,-53.711,0
1578267604.145,40.039,22.949,-19.531,90.332,65.918,0
1578267604.149,37.109,22.461,-42.969,90.332,58.594,0
1578267604.152,25.879,25.879,-46.387,62.500,-43.457,0
1578267604.156,29.297,25.391,-32.227,65.918,-64.453,0
